Transaction_ID,Transaction_Time_Seconds,Hour_of_Day,Amount,Actual_Class,Actual_Label,Prediction,Fraud_Probability,Risk_Score,Risk_Level,Top_Predictive_Feature
TX_MON_10001,82457.0,22,39.89,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,sin_hour
TX_MON_10002,42988.0,11,648.0,1,Fraud,FRAUD,0.9985,99.85,HIGH,V14
TX_MON_10003,82599.0,22,1.0,0,Legitimate,LEGITIMATE,0.0004,0.04,LOW,sin_hour
TX_MON_10004,132865.0,12,1.98,0,Legitimate,LEGITIMATE,0.0013,0.13,LOW,sin_hour
TX_MON_10005,134151.0,13,76.97,0,Legitimate,LEGITIMATE,0.0003,0.03,LOW,sin_hour
TX_MON_10006,110784.0,6,2.12,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,cos_hour
TX_MON_10007,36570.0,10,198.9,0,Legitimate,LEGITIMATE,0.0004,0.04,LOW,V1
TX_MON_10008,73744.0,20,47.3,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,V8
TX_MON_10009,78116.0,21,3.24,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,log_amount
TX_MON_10010,20096.0,5,89.77,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,cos_hour
TX_MON_10011,70071.0,19,227.3,1,Fraud,FRAUD,0.9982,99.82,HIGH,V14
TX_MON_10012,40326.0,11,43.0,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,V4
TX_MON_10013,47212.0,13,203.92,0,Legitimate,LEGITIMATE,0.0011,0.11,LOW,sin_hour
TX_MON_10014,79813.0,22,90.0,0,Legitimate,LEGITIMATE,0.126,12.6,LOW,V14
TX_MON_10015,111543.0,6,15.13,0,Legitimate,LEGITIMATE,0.0262,2.62,LOW,V4
TX_MON_10016,3485.0,0,358.8,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,Amount
TX_MON_10017,8886.0,2,1.0,1,Fraud,FRAUD,0.9978,99.78,HIGH,V14
TX_MON_10018,78979.0,21,2287.2,0,Legitimate,LEGITIMATE,0.0003,0.03,LOW,Amount
TX_MON_10019,43594.0,12,1269.0,0,Legitimate,LEGITIMATE,0.0027,0.27,LOW,V4
TX_MON_10020,74368.0,20,115.64,0,Legitimate,LEGITIMATE,0.0004,0.04,LOW,sin_hour
TX_MON_10021,114860.0,7,7.15,0,Legitimate,LEGITIMATE,0.0015,0.15,LOW,V1
TX_MON_10022,167024.0,22,5.94,0,Legitimate,LEGITIMATE,0.0004,0.04,LOW,V4
TX_MON_10023,72530.0,20,1.29,0,Legitimate,LEGITIMATE,0.0016,0.16,LOW,cos_hour
TX_MON_10024,151169.0,17,42.81,0,Legitimate,LEGITIMATE,0.0177,1.77,LOW,cos_hour
TX_MON_10025,154653.0,18,0.0,0,Legitimate,LEGITIMATE,0.0016,0.16,LOW,V4
TX_MON_10026,124436.0,10,30.34,0,Legitimate,LEGITIMATE,0.0011,0.11,LOW,V20
TX_MON_10027,131603.0,12,110.14,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,sin_hour
TX_MON_10028,80225.0,22,4.99,0,Legitimate,LEGITIMATE,0.0008,0.08,LOW,sin_hour
TX_MON_10029,57553.0,15,1.98,0,Legitimate,LEGITIMATE,0.0009,0.09,LOW,log_amount
TX_MON_10030,45501.0,12,105.99,1,Fraud,LEGITIMATE,0.0044,0.44,LOW,sin_hour
TX_MON_10031,150868.0,17,59.95,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,cos_hour
TX_MON_10032,3745.0,1,42.47,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,V12
TX_MON_10033,129413.0,11,94.59,0,Legitimate,LEGITIMATE,0.0375,3.75,LOW,V20
TX_MON_10034,55555.0,15,62.32,0,Legitimate,LEGITIMATE,0.0011,0.11,LOW,V4
